code	language
"#include <stdio.h>int main() {printf(""Hello, World!""); return 0;}"	1
"#include <stdio.h>int main() {   int number; printf(""Enter an integer: "");  scanf(""%d"", &number);printf(""You entered: %d"", number);return 0;}"	1
"#include <stdio.h>int main() {int number1, number2, sum;printf(""Enter two integers: "");scanf(""%d %d"", &number1, &number2);sum = number1 + number2;      printf(""%d + %d = %d"", number1, number2, sum);return 0;}"	1
"#include <stdio.h>int main() {double a, b, product;printf(""Enter two numbers: "");scanf(""%lf %lf"", &a, &b);  product = a * b;printf(""Product = %.2lf"", product);return 0;}"	1
"#include <stdio.h>int main() {  char c;printf(""Enter a character: "");scanf(""%c"", &c); printf(""ASCII value of %c = %d"", c, c);return 0;}"	1
"#include<stdio.h>int main() {int intType;float floatType;double doubleType;char charType;printf(""Size of int: %zu bytes\n"", sizeof(intType));printf(""Size of float: %zu bytes\n"", sizeof(floatType));printf(""Size of double: %zu bytes\n"", sizeof(doubleType));printf(""Size of char: %zu byte\n"", sizeof(charType));return 0;}"	1
"#include <stdio.h>int main() {int a;long b;   long long c;  double e;long double f;printf(""Size of int = %zu bytes \n"", sizeof(a));printf(""Size of long int = %zu bytes\n"", sizeof(b));printf(""Size of long long int = %zu bytes\n"", sizeof(c));printf(""Size of double = %zu bytes\n"", sizeof(e));printf(""Size of long double = %zu bytes\n"", sizeof(f));return 0;}"	1
"#include <stdio.h>int main() {double n1, n2, n3;printf(""Enter three different numbers: "");scanf(""%lf %lf %lf"", &n1, &n2, &n3);if (n1 >= n2 && n1 >= n3)printf(""%.2f is the largest number."", n1);if (n2 >= n1 && n2 >= n3)printf(""%.2f is the largest number."", n2);if (n3 >= n1 && n3 >= n2)printf(""%.2f is the largest number."", n3);return 0;}"	1
a = 5b = 6c = 7s = (a + b + c) / 2 area = (s*(s-a)*(s-b)*(s-c)) ** 0.5print('The area of the triangle is %0.2f' %area)	0
"num = float(input(""Enter a number: ""))if num > 0:print(""Positive number"")elif num == 0:print(""Zero"")else: print(""Negative number"")"	0
"num = int(input(""Enter a number: ""))if (num % 2) == 0:print(""{0} is Even"".format(num))else:print(""{0} is Odd"".format(num))"	0
"'False', 'None', 'True', 'and', 'as', 'assert', 'async', 'await', 'break', 'class', 'continue', 'def', 'del', 'elif', 'else', 'except', 'finally', 'for', 'from', 'global', 'if', 'import', 'in', 'is', 'lambda', 'nonlocal', 'not', 'or', 'pass', 'raise', 'return', 'try', 'while', 'with', 'yield'"	0
"lower = 900 upper = 1000 print(""Prime numbers between"", lower, ""and"", upper, ""are:"") for num in range(lower, upper + 1):if num > 1:for i in range(2, num): if (num % i) == 0: break  else: print(num)"	0
"factorial = 1  if num < 0:  print(""Sorry, factorial does not exist for negative numbers"")  elif num == 0: print(""The factorial of 0 is 1"")  else: for i in range(1,num + 1): factorial = factorial*i  print(""The factorial of"",num,""is"",factorial)"	0
"def compute_lcm(x, y): if x > y: greater = x else: greater = y while(True): if((greater % x == 0) and (greater % y == 0)): lcm = greater break  greater += 1  return lcm"	0
"public class AddTwoIntegers { public static void main(String[] args) { int first = 10; int second = 20; System.out.println(""Enter two numbers: "" + first + "" "" + second); int sum = first + second; System.out.println(""The sum is: "" + sum); }}"	2
"public class MultiplyTwoNumbers { public static void main(String[] args) { float first = 1.5f; float second = 2.0f; float product = first * second; System.out.println(""The product is: "" + product); } }"	2
"public class AsciiValue { public static void main(String[] args) { char ch = 'a'; int ascii = ch; int castAscii = (int) ch; System.out.println(""The ASCII value of "" + ch + "" is: "" + ascii); System.out.println(""The ASCII value of "" + ch + "" is: "" + castAscii); } }"	2
"public class VowelConsonant { public static void main(String[] args) { char ch = 'i'; if(ch == 'a' || ch == 'e' || ch == 'i' || ch == 'o' || ch == 'u' ) System.out.println(ch + "" is vowel""); else System.out.println(ch + "" is consonant""); } }"	2
"public class Armstrong { public static void main(String[] args) { int low = 999, high = 99999;  for(int number = low + 1; number < high; ++number) {  if (checkArmstrong(number)) System.out.print(number + "" ""); } } public static boolean checkArmstrong(int num) { int digits = 0; int result = 0; int originalNumber = num; while (originalNumber != 0) { originalNumber /= 10; ++digits; } originalNumber = num; while (originalNumber != 0) { int remainder = originalNumber % 10; result += Math.pow(remainder, digits); originalNumber /= 10; } if (result == num) return true; return false; } }"	2
